No;Time;DC/AC;Value;Unit;Auto
1;17:47:29;DC;22.363;mA;AUTO
2;17:47:30;DC;22.337;mA;AUTO
3;17:47:30;DC;22.329;mA;AUTO
4;17:47:31;DC;22.298;mA;AUTO
5;17:47:32;DC;21.411;mA;AUTO
6;17:47:32;DC;21.443;mA;AUTO
7;17:47:33;DC;21.626;mA;AUTO
8;17:47:34;DC;21.602;mA;AUTO
9;17:47:34;DC;21.617;mA;AUTO
10;17:47:35;DC;21.625;mA;AUTO
11;17:47:36;DC;4.762;mA;AUTO
12;17:47:36;DC;4.762;mA;AUTO
13;17:47:37;DC;4.762;mA;AUTO
14;17:47:37;DC;4.762;mA;AUTO
15;17:47:38;DC;4.761;mA;AUTO
16;17:47:39;DC;4.761;mA;AUTO
17;17:47:39;DC;4.761;mA;AUTO
18;17:47:40;DC;4.76;mA;AUTO
19;17:47:41;DC;4.76;mA;AUTO
20;17:47:41;DC;4.76;mA;AUTO
21;17:47:42;DC;4.76;mA;AUTO
22;17:47:43;DC;4.76;mA;AUTO
23;17:47:43;DC;4.76;mA;AUTO
24;17:47:44;DC;4.76;mA;AUTO
25;17:47:45;DC;4.76;mA;AUTO
26;17:47:45;DC;4.76;mA;AUTO
27;17:47:46;DC;4.76;mA;AUTO
28;17:47:47;DC;4.76;mA;AUTO
29;17:47:47;DC;4.76;mA;AUTO
30;17:47:48;DC;4.76;mA;AUTO
31;17:47:49;DC;4.76;mA;AUTO
32;17:47:49;DC;4.76;mA;AUTO
33;17:47:50;DC;4.76;mA;AUTO
34;17:47:51;DC;4.76;mA;AUTO
35;17:47:51;DC;4.76;mA;AUTO
36;17:47:52;DC;4.76;mA;AUTO
37;17:47:53;DC;4.76;mA;AUTO
38;17:47:53;DC;4.76;mA;AUTO
39;17:47:54;DC;4.76;mA;AUTO
40;17:47:55;DC;4.76;mA;AUTO
41;17:47:55;DC;4.76;mA;AUTO
42;17:47:56;DC;4.76;mA;AUTO
43;17:47:57;DC;4.76;mA;AUTO
44;17:47:57;DC;4.76;mA;AUTO
45;17:47:58;DC;4.76;mA;AUTO
46;17:47:59;DC;4.76;mA;AUTO
47;17:47:59;DC;4.76;mA;AUTO
48;17:48:00;DC;4.76;mA;AUTO
49;17:48:01;DC;4.76;mA;AUTO
