No;Time;DC/AC;Value;Unit;Auto
1;17:41:26;DC;49.22;mA;AUTO
2;17:41:26;DC;49.35;mA;AUTO
3;17:41:27;DC;49.38;mA;AUTO
4;17:41:28;DC;49.42;mA;AUTO
5;17:41:28;DC;49.35;mA;AUTO
6;17:41:29;DC;49.31;mA;AUTO
7;17:41:30;DC;49.28;mA;AUTO
8;17:41:30;DC;7.062;mA;AUTO
9;17:41:31;DC;6.779;mA;AUTO
10;17:41:31;DC;6.777;mA;AUTO
11;17:41:32;DC;7.064;mA;AUTO
12;17:41:33;DC;6.781;mA;AUTO
13;17:41:33;DC;6.778;mA;AUTO
14;17:41:34;DC;7.064;mA;AUTO
15;17:41:35;DC;6.777;mA;AUTO
16;17:41:35;DC;6.775;mA;AUTO
17;17:41:36;DC;7.064;mA;AUTO
18;17:41:37;DC;6.867;mA;AUTO
19;17:41:37;DC;6.835;mA;AUTO
20;17:41:38;DC;7.058;mA;AUTO
21;17:41:39;DC;7.06;mA;AUTO
22;17:41:39;DC;6.773;mA;AUTO
23;17:41:40;DC;6.773;mA;AUTO
24;17:41:41;DC;7.062;mA;AUTO
25;17:41:41;DC;7.062;mA;AUTO
26;17:41:42;DC;6.773;mA;AUTO
27;17:41:43;DC;6.773;mA;AUTO
28;17:41:43;DC;6.773;mA;AUTO
29;17:41:44;DC;7.062;mA;AUTO
30;17:41:45;DC;6.777;mA;AUTO
31;17:41:45;DC;6.775;mA;AUTO
32;17:41:46;DC;6.774;mA;AUTO
33;17:41:47;DC;6.774;mA;AUTO
34;17:41:47;DC;7.062;mA;AUTO
35;17:41:48;DC;7.062;mA;AUTO
36;17:41:49;DC;6.775;mA;AUTO
37;17:41:49;DC;6.775;mA;AUTO
38;17:41:50;DC;6.774;mA;AUTO
39;17:41:51;DC;6.774;mA;AUTO
40;17:41:51;DC;7.064;mA;AUTO
41;17:41:52;DC;7.064;mA;AUTO
42;17:41:53;DC;6.775;mA;AUTO
43;17:41:53;DC;6.774;mA;AUTO
44;17:41:54;DC;6.773;mA;AUTO
45;17:41:55;DC;6.773;mA;AUTO
46;17:41:55;DC;7.062;mA;AUTO
47;17:41:56;DC;7.062;mA;AUTO
48;17:41:57;DC;6.775;mA;AUTO
49;17:41:57;DC;6.775;mA;AUTO
50;17:41:58;DC;6.775;mA;AUTO
51;17:41:58;DC;6.775;mA;AUTO
52;17:41:59;DC;7.064;mA;AUTO
53;17:42:00;DC;7.064;mA;AUTO
54;17:42:00;DC;6.779;mA;AUTO
55;17:42:01;DC;6.777;mA;AUTO
56;17:42:02;DC;6.776;mA;AUTO
57;17:42:02;DC;6.775;mA;AUTO
58;17:42:03;DC;7.066;mA;AUTO
59;17:42:04;DC;7.066;mA;AUTO
60;17:42:04;DC;6.779;mA;AUTO
61;17:42:05;DC;6.777;mA;AUTO
62;17:42:06;DC;6.776;mA;AUTO
63;17:42:06;DC;6.775;mA;AUTO
64;17:42:07;DC;7.064;mA;AUTO
65;17:42:08;DC;7.064;mA;AUTO
66;17:42:08;DC;6.779;mA;AUTO
67;17:42:09;DC;6.777;mA;AUTO
68;17:42:10;DC;6.775;mA;AUTO
69;17:42:10;DC;6.775;mA;AUTO
70;17:42:11;DC;7.064;mA;AUTO
71;17:42:12;DC;7.064;mA;AUTO
72;17:42:12;DC;6.779;mA;AUTO
73;17:42:13;DC;6.777;mA;AUTO
74;17:42:14;DC;6.776;mA;AUTO
75;17:42:14;DC;6.775;mA;AUTO
76;17:42:15;DC;7.066;mA;AUTO
77;17:42:16;DC;7.066;mA;AUTO
78;17:42:16;DC;6.777;mA;AUTO
79;17:42:17;DC;6.777;mA;AUTO
80;17:42:18;DC;6.776;mA;AUTO
81;17:42:18;DC;6.775;mA;AUTO
82;17:42:19;DC;7.064;mA;AUTO
83;17:42:20;DC;7.064;mA;AUTO
84;17:42:20;DC;6.777;mA;AUTO
85;17:42:21;DC;6.776;mA;AUTO
86;17:42:22;DC;6.775;mA;AUTO
87;17:42:22;DC;6.774;mA;AUTO
88;17:42:23;DC;7.066;mA;AUTO
89;17:42:24;DC;7.066;mA;AUTO
90;17:42:24;DC;6.775;mA;AUTO
91;17:42:25;DC;6.775;mA;AUTO
92;17:42:26;DC;6.775;mA;AUTO
93;17:42:26;DC;6.881;mA;AUTO
94;17:42:27;DC;7.064;mA;AUTO
95;17:42:28;DC;7.064;mA;AUTO
96;17:42:28;DC;6.775;mA;AUTO
97;17:42:29;DC;6.775;mA;AUTO
98;17:42:29;DC;49.3;mA;AUTO
99;17:42:30;DC;49.3;mA;AUTO
100;17:42:31;DC;49.25;mA;AUTO
101;17:42:31;DC;49.22;mA;AUTO
102;17:42:32;DC;49.21;mA;AUTO
103;17:42:33;DC;49.2;mA;AUTO
104;17:42:33;DC;49.2;mA;AUTO
105;17:42:34;DC;49.29;mA;AUTO
106;17:42:35;DC;6.775;mA;AUTO
107;17:42:35;DC;6.775;mA;AUTO
108;17:42:36;DC;6.775;mA;AUTO
109;17:42:37;DC;6.775;mA;AUTO
110;17:42:37;DC;7.064;mA;AUTO
111;17:42:38;DC;7.064;mA;AUTO
112;17:42:39;DC;6.781;mA;AUTO
113;17:42:39;DC;6.779;mA;AUTO
114;17:42:40;DC;6.777;mA;AUTO
115;17:42:41;DC;6.775;mA;AUTO
116;17:42:41;DC;7.06;mA;AUTO
117;17:42:42;DC;7.061;mA;AUTO
118;17:42:43;DC;7.062;mA;AUTO
119;17:42:43;DC;6.775;mA;AUTO
120;17:42:44;DC;6.775;mA;AUTO
121;17:42:45;DC;6.775;mA;AUTO
122;17:42:45;DC;6.895;mA;AUTO
123;17:42:46;DC;7.064;mA;AUTO
124;17:42:47;DC;7.064;mA;AUTO
125;17:42:47;DC;6.775;mA;AUTO
126;17:42:48;DC;6.775;mA;AUTO
127;17:42:49;DC;6.775;mA;AUTO
128;17:42:49;DC;6.774;mA;AUTO
129;17:42:50;DC;7.064;mA;AUTO
130;17:42:51;DC;7.064;mA;AUTO
131;17:42:51;DC;6.777;mA;AUTO
132;17:42:52;DC;6.776;mA;AUTO
133;17:42:53;DC;6.775;mA;AUTO
134;17:42:53;DC;6.774;mA;AUTO
135;17:42:54;DC;7.064;mA;AUTO
136;17:42:55;DC;7.064;mA;AUTO
137;17:42:55;DC;6.777;mA;AUTO
138;17:42:56;DC;6.776;mA;AUTO
139;17:42:57;DC;6.775;mA;AUTO
140;17:42:57;DC;6.774;mA;AUTO
141;17:42:58;DC;7.064;mA;AUTO
142;17:42:59;DC;7.064;mA;AUTO
143;17:42:59;DC;6.775;mA;AUTO
144;17:43:00;DC;6.775;mA;AUTO
145;17:43:01;DC;6.775;mA;AUTO
146;17:43:01;DC;6.775;mA;AUTO
147;17:43:02;DC;7.064;mA;AUTO
148;17:43:03;DC;7.064;mA;AUTO
149;17:43:03;DC;6.775;mA;AUTO
150;17:43:04;DC;6.775;mA;AUTO
151;17:43:05;DC;6.775;mA;AUTO
152;17:43:05;DC;6.794;mA;AUTO
153;17:43:06;DC;7.066;mA;AUTO
154;17:43:07;DC;7.066;mA;AUTO
155;17:43:07;DC;6.777;mA;AUTO
156;17:43:08;DC;6.777;mA;AUTO
157;17:43:08;DC;6.776;mA;AUTO
158;17:43:09;DC;7.002;mA;AUTO
159;17:43:10;DC;7.022;mA;AUTO
160;17:43:10;DC;7.036;mA;AUTO
161;17:43:11;DC;6.775;mA;AUTO
162;17:43:12;DC;6.774;mA;AUTO
163;17:43:12;DC;6.774;mA;AUTO
164;17:43:13;DC;7.058;mA;AUTO
165;17:43:14;DC;7.06;mA;AUTO
166;17:43:14;DC;7.028;mA;AUTO
167;17:43:15;DC;6.777;mA;AUTO
168;17:43:16;DC;6.776;mA;AUTO
169;17:43:16;DC;6.775;mA;AUTO
170;17:43:17;DC;7.064;mA;AUTO
171;17:43:18;DC;7.064;mA;AUTO
172;17:43:18;DC;6.781;mA;AUTO
173;17:43:19;DC;6.779;mA;AUTO
174;17:43:20;DC;6.777;mA;AUTO
175;17:43:20;DC;6.776;mA;AUTO
176;17:43:21;DC;7.064;mA;AUTO
177;17:43:22;DC;7.064;mA;AUTO
178;17:43:22;DC;6.773;mA;AUTO
179;17:43:23;DC;6.773;mA;AUTO
180;17:43:24;DC;6.773;mA;AUTO
181;17:43:24;DC;6.773;mA;AUTO
182;17:43:25;DC;7.062;mA;AUTO
183;17:43:26;DC;7.062;mA;AUTO
184;17:43:26;DC;6.773;mA;AUTO
185;17:43:27;DC;6.773;mA;AUTO
186;17:43:28;DC;6.773;mA;AUTO
187;17:43:28;DC;7.056;mA;AUTO
188;17:43:29;DC;7.058;mA;AUTO
189;17:43:30;DC;7.056;mA;AUTO
190;17:43:30;DC;6.773;mA;AUTO
191;17:43:31;DC;6.773;mA;AUTO
192;17:43:32;DC;6.773;mA;AUTO
193;17:43:32;DC;7.062;mA;AUTO
194;17:43:33;DC;7.062;mA;AUTO
195;17:43:34;DC;6.781;mA;AUTO
196;17:43:34;DC;6.779;mA;AUTO
197;17:43:35;DC;49.12;mA;AUTO
198;17:43:35;DC;49.13;mA;AUTO
199;17:43:36;DC;49.14;mA;AUTO
200;17:43:37;DC;49.16;mA;AUTO
201;17:43:37;DC;49.17;mA;AUTO
202;17:43:38;DC;49.18;mA;AUTO
203;17:43:39;DC;49.19;mA;AUTO
204;17:43:39;DC;47.79;mA;AUTO
205;17:43:40;DC;6.773;mA;AUTO
206;17:43:41;DC;7.064;mA;AUTO
207;17:43:41;DC;7.064;mA;AUTO
208;17:43:42;DC;6.781;mA;AUTO
209;17:43:43;DC;6.778;mA;AUTO
210;17:43:43;DC;6.776;mA;AUTO
211;17:43:44;DC;6.775;mA;AUTO
212;17:43:45;DC;7.058;mA;AUTO
213;17:43:45;DC;7.06;mA;AUTO
214;17:43:46;DC;7.061;mA;AUTO
215;17:43:47;DC;6.775;mA;AUTO
216;17:43:47;DC;6.775;mA;AUTO
217;17:43:48;DC;6.774;mA;AUTO
218;17:43:49;DC;6.801;mA;AUTO
219;17:43:49;DC;7.066;mA;AUTO
220;17:43:50;DC;7.065;mA;AUTO
221;17:43:51;DC;6.775;mA;AUTO
222;17:43:51;DC;6.775;mA;AUTO
223;17:43:52;DC;6.775;mA;AUTO
224;17:43:53;DC;6.775;mA;AUTO
225;17:43:53;DC;7.064;mA;AUTO
226;17:43:54;DC;7.064;mA;AUTO
227;17:43:55;DC;6.775;mA;AUTO
228;17:43:55;DC;6.775;mA;AUTO
229;17:43:56;DC;6.775;mA;AUTO
230;17:43:57;DC;6.775;mA;AUTO
231;17:43:57;DC;7.062;mA;AUTO
232;17:43:58;DC;7.062;mA;AUTO
233;17:43:59;DC;6.775;mA;AUTO
234;17:43:59;DC;6.775;mA;AUTO
235;17:44:00;DC;6.774;mA;AUTO
236;17:44:01;DC;6.773;mA;AUTO
237;17:44:01;DC;7.064;mA;AUTO
238;17:44:02;DC;7.064;mA;AUTO
239;17:44:02;DC;6.775;mA;AUTO
240;17:44:03;DC;6.774;mA;AUTO
241;17:44:04;DC;6.773;mA;AUTO
242;17:44:04;DC;6.78;mA;AUTO
243;17:44:05;DC;7.064;mA;AUTO
244;17:44:06;DC;7.064;mA;AUTO
245;17:44:06;DC;6.775;mA;AUTO
246;17:44:07;DC;6.775;mA;AUTO
247;17:44:08;DC;6.774;mA;AUTO
248;17:44:08;DC;6.986;mA;AUTO
249;17:44:09;DC;7.012;mA;AUTO
250;17:44:10;DC;7.03;mA;AUTO
251;17:44:10;DC;6.777;mA;AUTO
252;17:44:11;DC;6.776;mA;AUTO
